"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"168","Jaboti","Índice Ipardes de Desempenho Municipal (IPDM)",0.6252,0.6232,0.6192,0.6261,0.6965,0.7029,0.6913,0.705,0.6931
"169","Jacarezinho","Índice Ipardes de Desempenho Municipal (IPDM)",0.5904,0.6561,0.6776,0.6765,0.6993,0.6995,0.7082,0.7288,0.7377
"170","Jaguapitã","Índice Ipardes de Desempenho Municipal (IPDM)",0.6523,0.6506,0.6662,0.6892,0.6943,0.7296,0.738,0.7222,0.7226
"171","Jaguariaíva","Índice Ipardes de Desempenho Municipal (IPDM)",0.5645,0.5822,0.5904,0.6157,0.5955,0.5953,0.6019,0.6646,0.7031
"172","Jandaia do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.6623,0.7004,0.7302,0.7593,0.7467,0.7352,0.7482,0.7636,0.7817
"173","Janiópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.6498,0.6812,0.665,0.7063,0.7186,0.6818,0.686,0.6785,0.7218
"174","Japira","Índice Ipardes de Desempenho Municipal (IPDM)",0.578,0.5545,0.4724,0.5693,0.5852,0.6255,0.6127,0.6409,0.6311
"175","Japurá","Índice Ipardes de Desempenho Municipal (IPDM)",0.6975,0.7213,0.7357,0.7337,0.7339,0.7239,0.7299,0.7625,0.7704
"176","Jardim Alegre","Índice Ipardes de Desempenho Municipal (IPDM)",0.4314,0.4566,0.4904,0.5591,0.5971,0.6493,0.68,0.714,0.6672
"177","Jardim Olinda","Índice Ipardes de Desempenho Municipal (IPDM)",0.666,0.6848,0.6672,0.6685,0.6068,0.6014,0.6505,0.7515,0.7587
"178","Jataizinho","Índice Ipardes de Desempenho Municipal (IPDM)",0.5809,0.5866,0.5785,0.6237,0.6366,0.6486,0.6309,0.6125,0.6183
"179","Jesuítas","Índice Ipardes de Desempenho Municipal (IPDM)",0.6755,0.706,0.7021,0.697,0.6992,0.6963,0.6825,0.7148,0.7161
"180","Joaquim Távora","Índice Ipardes de Desempenho Municipal (IPDM)",0.6637,0.6483,0.6582,0.6853,0.7191,0.7224,0.7397,0.7499,0.76
"181","Jundiaí do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.6119,0.6463,0.6684,0.6566,0.6546,0.6393,0.6275,0.6226,0.6785
"182","Juranda","Índice Ipardes de Desempenho Municipal (IPDM)",0.6144,0.6786,0.6382,0.6718,0.6604,0.6369,0.6553,0.665,0.6947
"183","Jussara","Índice Ipardes de Desempenho Municipal (IPDM)",0.6545,0.6516,0.6895,0.7561,0.7616,0.6998,0.7523,0.7505,0.7674
"184","Kaloré","Índice Ipardes de Desempenho Municipal (IPDM)",0.6889,0.6969,0.711,0.6773,0.7212,0.7447,0.7191,0.7192,0.7268
"185","Lapa","Índice Ipardes de Desempenho Municipal (IPDM)",0.5448,0.5668,0.5604,0.6197,0.6688,0.7177,0.7096,0.7346,0.7354
"186","Laranjal","Índice Ipardes de Desempenho Municipal (IPDM)",0.3548,0.3949,0.4284,0.4718,0.5479,0.5662,0.583,0.607,0.6089
"187","Laranjeiras do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.6421,0.6775,0.6556,0.6676,0.6784,0.6936,0.717,0.7137,0.7144
"188","Leópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.5391,0.5393,0.5609,0.6136,0.6548,0.6371,0.6425,0.638,0.6524
"189","Lidianópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.6337,0.66,0.6546,0.6283,0.6545,0.6364,0.7032,0.7231,0.7137
"190","Lindoeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.538,0.5904,0.5837,0.6268,0.6603,0.6854,0.6844,0.6974,0.6888
"191","Loanda","Índice Ipardes de Desempenho Municipal (IPDM)",0.6807,0.6698,0.6597,0.6255,0.6155,0.6206,0.6165,0.6652,0.6912
"192","Lobato","Índice Ipardes de Desempenho Municipal (IPDM)",0.7462,0.7702,0.7443,0.729,0.7103,0.7141,0.7224,0.7104,0.7243
"193","Londrina","Índice Ipardes de Desempenho Municipal (IPDM)",0.7504,0.7526,0.7522,0.7675,0.7701,0.7721,0.7794,0.8023,0.7955
"194","Luiziana","Índice Ipardes de Desempenho Municipal (IPDM)",0.5308,0.5664,0.5824,0.6064,0.6201,0.6222,0.6382,0.6466,0.6806
"195","Lunardelli","Índice Ipardes de Desempenho Municipal (IPDM)",0.5827,0.5862,0.6354,0.6113,0.6287,0.6798,0.6494,0.6698,0.6738
"196","Lupionópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.5749,0.6449,0.5878,0.5836,0.5804,0.6099,0.651,0.6345,0.6153
"197","Mallet","Índice Ipardes de Desempenho Municipal (IPDM)",0.6395,0.659,0.5986,0.6038,0.6578,0.6773,0.689,0.6944,0.7524
"198","Mamborê","Índice Ipardes de Desempenho Municipal (IPDM)",0.6631,0.696,0.6746,0.6729,0.6512,0.6435,0.6699,0.6875,0.7231
"199","Mandaguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.5929,0.6286,0.6942,0.6691,0.6989,0.6971,0.7163,0.7232,0.7345
"200","Mandaguari","Índice Ipardes de Desempenho Municipal (IPDM)",0.7115,0.7257,0.7153,0.7125,0.7092,0.7027,0.7236,0.7543,0.7653
"201","Mandirituba","Índice Ipardes de Desempenho Municipal (IPDM)",0.5083,0.5184,0.5001,0.5361,0.5657,0.6388,0.6507,0.6947,0.653
"202","Manfrinópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.5397,0.5969,0.5784,0.6087,0.6466,0.6151,0.6403,0.6799,0.6151
"203","Mangueirinha","Índice Ipardes de Desempenho Municipal (IPDM)",0.4659,0.527,0.5666,0.6322,0.6377,0.6262,0.645,0.6724,0.6907
"204","Manoel Ribas","Índice Ipardes de Desempenho Municipal (IPDM)",0.4718,0.4745,0.4784,0.4793,0.4845,0.5139,0.5783,0.6026,0.6338
"205","Marechal Cândido Rondon","Índice Ipardes de Desempenho Municipal (IPDM)",0.6763,0.6845,0.7045,0.7534,0.7768,0.7703,0.7673,0.7787,0.7868
"206","Maria Helena","Índice Ipardes de Desempenho Municipal (IPDM)",0.5914,0.588,0.5403,0.5394,0.5397,0.5672,0.5663,0.6328,0.6378
"207","Marialva","Índice Ipardes de Desempenho Municipal (IPDM)",0.6682,0.6835,0.6775,0.7026,0.7056,0.7048,0.7087,0.7408,0.7554
"208","Marilândia do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.6705,0.6446,0.6413,0.6591,0.6871,0.6629,0.6796,0.7034,0.727
"209","Marilena","Índice Ipardes de Desempenho Municipal (IPDM)",0.6003,0.6271,0.6428,0.6709,0.6674,0.6692,0.6993,0.6976,0.718
"210","Mariluz","Índice Ipardes de Desempenho Municipal (IPDM)",0.4758,0.5258,0.5318,0.5451,0.5667,0.5745,0.5714,0.5689,0.5727
"211","Maringá","Índice Ipardes de Desempenho Municipal (IPDM)",0.7685,0.7789,0.7835,0.7961,0.7971,0.7995,0.8036,0.8108,0.8062
"212","Mariópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.5622,0.59,0.5817,0.6331,0.6482,0.6531,0.6704,0.7116,0.7399
"213","Maripá","Índice Ipardes de Desempenho Municipal (IPDM)",0.6986,0.7216,0.7023,0.7636,0.7461,0.7598,0.762,0.7978,0.7698
"214","Marmeleiro","Índice Ipardes de Desempenho Municipal (IPDM)",0.5916,0.5843,0.5666,0.5953,0.6189,0.6887,0.6923,0.7299,0.7206
"215","Marquinho","Índice Ipardes de Desempenho Municipal (IPDM)",0.5173,0.5292,0.4474,0.5006,0.552,0.5222,0.6723,0.6474,0.6504
"216","Marumbi","Índice Ipardes de Desempenho Municipal (IPDM)",0.624,0.6281,0.671,0.7064,0.6864,0.6964,0.6854,0.64,0.6471
"217","Matelândia","Índice Ipardes de Desempenho Municipal (IPDM)",0.6404,0.6813,0.6724,0.6595,0.6922,0.7147,0.7561,0.7959,0.7848
"218","Matinhos","Índice Ipardes de Desempenho Municipal (IPDM)",0.5615,0.5484,0.5808,0.6121,0.6409,0.6448,0.6071,0.6045,0.586
"219","Mato Rico","Índice Ipardes de Desempenho Municipal (IPDM)",0.5194,0.5024,0.501,0.5272,0.5641,0.5921,0.5749,0.6356,0.6551
"220","Mauá da Serra","Índice Ipardes de Desempenho Municipal (IPDM)",0.5607,0.5782,0.6012,0.6087,0.6241,0.6188,0.6452,0.6316,0.6677
"221","Medianeira","Índice Ipardes de Desempenho Municipal (IPDM)",0.7333,0.7252,0.7149,0.7438,0.7634,0.7643,0.7755,0.7924,0.7937
"222","Mercedes","Índice Ipardes de Desempenho Municipal (IPDM)",0.6764,0.7385,0.72,0.7635,0.7364,0.7191,0.7286,0.7718,0.7702
"223","Mirador","Índice Ipardes de Desempenho Municipal (IPDM)",0.6475,0.6397,0.6139,0.6557,0.6101,0.6086,0.6092,0.6923,0.7079
"224","Miraselva","Índice Ipardes de Desempenho Municipal (IPDM)",0.6992,0.6237,0.63,0.6719,0.6814,0.6527,0.6468,0.7367,0.7252
"225","Missal","Índice Ipardes de Desempenho Municipal (IPDM)",0.6346,0.6611,0.6496,0.6801,0.6824,0.6537,0.6477,0.6603,0.6731
"226","Moreira Sales","Índice Ipardes de Desempenho Municipal (IPDM)",0.5579,0.6064,0.597,0.6295,0.6457,0.6356,0.646,0.6701,0.6745
"227","Morretes","Índice Ipardes de Desempenho Municipal (IPDM)",0.4412,0.4505,0.4894,0.5199,0.5219,0.5201,0.5444,0.5567,0.5763
"228","Munhoz de Melo","Índice Ipardes de Desempenho Municipal (IPDM)",0.598,0.6031,0.5893,0.6256,0.6339,0.6487,0.6863,0.6837,0.6966
"229","Nossa Senhora das Graças","Índice Ipardes de Desempenho Municipal (IPDM)",0.6239,0.6483,0.5926,0.5852,0.6031,0.5507,0.5937,0.6511,0.6593
"230","Nova Aliança do Ivaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.6381,0.6344,0.6534,0.6208,0.6193,0.6043,0.6975,0.7275,0.7466
"231","Nova América da Colina","Índice Ipardes de Desempenho Municipal (IPDM)",0.7317,0.6817,0.6491,0.6684,0.6156,0.7064,0.6743,0.8039,0.7031
"232","Nova Aurora","Índice Ipardes de Desempenho Municipal (IPDM)",0.6713,0.6674,0.6801,0.718,0.7003,0.7237,0.7235,0.7692,0.7687
"233","Nova Cantu","Índice Ipardes de Desempenho Municipal (IPDM)",0.5615,0.5427,0.5578,0.6234,0.6785,0.65,0.6646,0.6802,0.7008
"234","Nova Esperança","Índice Ipardes de Desempenho Municipal (IPDM)",0.6526,0.6734,0.6635,0.674,0.6601,0.6741,0.6754,0.7268,0.7252
"235","Nova Esperança do Sudoeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.5896,0.6563,0.5698,0.5822,0.59,0.6332,0.6352,0.6644,0.6362
"236","Nova Fátima","Índice Ipardes de Desempenho Municipal (IPDM)",0.5078,0.5599,0.5168,0.5509,0.6012,0.6667,0.6821,0.7748,0.6575
"237","Nova Laranjeiras","Índice Ipardes de Desempenho Municipal (IPDM)",0.3893,0.4108,0.3565,0.4602,0.4887,0.5271,0.4969,0.5396,0.5005
"238","Nova Londrina","Índice Ipardes de Desempenho Municipal (IPDM)",0.6298,0.6431,0.6617,0.6722,0.6952,0.6878,0.696,0.7001,0.753
"239","Nova Olímpia","Índice Ipardes de Desempenho Municipal (IPDM)",0.6723,0.6356,0.6363,0.603,0.6528,0.648,0.6597,0.7149,0.7021
"240","Nova Prata do Iguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.6253,0.6687,0.6697,0.6677,0.6518,0.6503,0.6893,0.7146,0.7014
"241","Nova Santa Bárbara","Índice Ipardes de Desempenho Municipal (IPDM)",0.4313,0.5085,0.5023,0.51,0.5203,0.5576,0.598,0.6598,0.6778
"242","Nova Santa Rosa","Índice Ipardes de Desempenho Municipal (IPDM)",0.7268,0.7227,0.7212,0.723,0.6972,0.728,0.7501,0.7774,0.7567
"243","Nova Tebas","Índice Ipardes de Desempenho Municipal (IPDM)",0.59,0.5603,0.5285,0.5667,0.6052,0.6362,0.6529,0.6565,0.6457
"244","Novo Itacolomi","Índice Ipardes de Desempenho Municipal (IPDM)",0.6936,0.701,0.6889,0.7162,0.7452,0.755,0.7549,0.757,0.7628
"245","Ortigueira","Índice Ipardes de Desempenho Municipal (IPDM)",0.4431,0.4847,0.5015,0.5667,0.6239,0.7014,0.5598,0.6153,0.6189
"246","Ourizona","Índice Ipardes de Desempenho Municipal (IPDM)",0.6744,0.6837,0.6529,0.6453,0.6621,0.6722,0.6768,0.7272,0.736
"247","Ouro Verde do Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.5886,0.6337,0.6315,0.6127,0.6266,0.6089,0.6529,0.7029,0.7359
"248","Paiçandu","Índice Ipardes de Desempenho Municipal (IPDM)",0.596,0.5912,0.5906,0.6125,0.6416,0.6567,0.6787,0.683,0.6864
"249","Palmas","Índice Ipardes de Desempenho Municipal (IPDM)",0.4798,0.543,0.5277,0.5369,0.5484,0.5202,0.5716,0.6059,0.6248
"250","Palmeira","Índice Ipardes de Desempenho Municipal (IPDM)",0.587,0.608,0.6201,0.633,0.641,0.6558,0.6827,0.726,0.7323
"251","Palmital","Índice Ipardes de Desempenho Municipal (IPDM)",0.4786,0.5541,0.5092,0.5514,0.5685,0.5848,0.6115,0.6354,0.6523
"252","Palotina","Índice Ipardes de Desempenho Municipal (IPDM)",0.7398,0.7664,0.7523,0.7841,0.7977,0.8102,0.8198,0.8301,0.8537
"253","Paraíso do Norte","Índice Ipardes de Desempenho Municipal (IPDM)",0.6408,0.7094,0.6832,0.6916,0.6871,0.7113,0.7145,0.7393,0.7791
"254","Paranacity","Índice Ipardes de Desempenho Municipal (IPDM)",0.6857,0.6944,0.6917,0.6939,0.6506,0.6303,0.6344,0.6489,0.6599
"255","Paranaguá","Índice Ipardes de Desempenho Municipal (IPDM)",0.6071,0.6242,0.6116,0.6407,0.6332,0.6552,0.6643,0.6781,0.6682
"256","Paranapoema","Índice Ipardes de Desempenho Municipal (IPDM)",0.5571,0.6187,0.5925,0.6318,0.6157,0.6236,0.6449,0.7391,0.7487
"257","Paranavaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.6516,0.6921,0.7179,0.735,0.7462,0.7524,0.7571,0.7752,0.7682
"258","Pato Bragado","Índice Ipardes de Desempenho Municipal (IPDM)",0.7064,0.6577,0.6324,0.6639,0.7022,0.7228,0.7332,0.7755,0.7782
"259","Pato Branco","Índice Ipardes de Desempenho Municipal (IPDM)",0.6762,0.7053,0.7363,0.7729,0.7908,0.7852,0.799,0.7968,0.7947
"260","Paula Freitas","Índice Ipardes de Desempenho Municipal (IPDM)",0.5845,0.6565,0.6831,0.7303,0.7383,0.7482,0.7473,0.7756,0.7412
"261","Paulo Frontin","Índice Ipardes de Desempenho Municipal (IPDM)",0.6216,0.6664,0.6215,0.6351,0.5993,0.6376,0.644,0.685,0.6753
"262","Peabiru","Índice Ipardes de Desempenho Municipal (IPDM)",0.6156,0.6816,0.6955,0.6336,0.6478,0.6763,0.7064,0.702,0.713
"263","Perobal","Índice Ipardes de Desempenho Municipal (IPDM)",0.6747,0.7353,0.7115,0.7,0.6627,0.6574,0.6668,0.6947,0.6981
"264","Pérola","Índice Ipardes de Desempenho Municipal (IPDM)",0.6406,0.6606,0.6312,0.6506,0.6773,0.6927,0.6638,0.7048,0.6898
"265","Pérola d'Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.5861,0.6377,0.6154,0.6668,0.6878,0.685,0.6838,0.712,0.6943
"266","Piên","Índice Ipardes de Desempenho Municipal (IPDM)",0.647,0.6429,0.6594,0.7434,0.7299,0.7209,0.6971,0.7628,0.7314
"267","Pinhais","Índice Ipardes de Desempenho Municipal (IPDM)",0.6473,0.6589,0.6642,0.6971,0.7107,0.7441,0.7445,0.7599,0.766
"268","Pinhal de São Bento","Índice Ipardes de Desempenho Municipal (IPDM)",0.6452,0.6665,0.6383,0.6277,0.6123,0.6087,0.6148,0.7087,0.7463
"269","Pinhalão","Índice Ipardes de Desempenho Municipal (IPDM)",0.5913,0.6055,0.5889,0.6185,0.6531,0.6859,0.6958,0.6901,0.6888
"270","Pinhão","Índice Ipardes de Desempenho Municipal (IPDM)",0.4656,0.4711,0.4836,0.5266,0.5513,0.5759,0.6019,0.6433,0.6454
"271","Piraí do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.5197,0.5784,0.5665,0.6,0.5974,0.5956,0.5927,0.6613,0.6431
"272","Piraquara","Índice Ipardes de Desempenho Municipal (IPDM)",0.4598,0.5088,0.4787,0.5068,0.5096,0.5587,0.5683,0.5989,0.581
"273","Pitanga","Índice Ipardes de Desempenho Municipal (IPDM)",0.6093,0.6266,0.6076,0.6551,0.6741,0.6919,0.6951,0.7139,0.725
"274","Pitangueiras","Índice Ipardes de Desempenho Municipal (IPDM)",0.6142,0.6215,0.6943,0.712,0.6997,0.637,0.6788,0.6868,0.7105
"275","Planaltina do Paraná","Índice Ipardes de Desempenho Municipal (IPDM)",0.5848,0.6007,0.6444,0.7026,0.7173,0.6672,0.6345,0.6537,0.6835
"276","Planalto","Índice Ipardes de Desempenho Municipal (IPDM)",0.5752,0.6185,0.6356,0.6838,0.6797,0.6791,0.6891,0.7252,0.7276
"277","Ponta Grossa","Índice Ipardes de Desempenho Municipal (IPDM)",0.6075,0.6547,0.6842,0.7114,0.7155,0.726,0.7285,0.7341,0.7353
"278","Pontal do Paraná","Índice Ipardes de Desempenho Municipal (IPDM)",0.5351,0.5552,0.5761,0.5456,0.6046,0.6422,0.6258,0.6536,0.6238
"279","Porecatu","Índice Ipardes de Desempenho Municipal (IPDM)",0.6217,0.607,0.5918,0.6817,0.6925,0.6771,0.6592,0.6642,0.6544
"280","Porto Amazonas","Índice Ipardes de Desempenho Municipal (IPDM)",0.5287,0.6005,0.5926,0.6558,0.6389,0.6344,0.6572,0.6639,0.6253
"281","Porto Barreiro","Índice Ipardes de Desempenho Municipal (IPDM)",0.5901,0.6083,0.5273,0.6263,0.6535,0.6824,0.7166,0.7512,0.7223
"282","Porto Rico","Índice Ipardes de Desempenho Municipal (IPDM)",0.6906,0.6775,0.6878,0.7441,0.7496,0.6831,0.6455,0.6973,0.7266
"283","Porto Vitória","Índice Ipardes de Desempenho Municipal (IPDM)",0.621,0.6022,0.5697,0.5997,0.6002,0.6219,0.672,0.7172,0.7439
"284","Prado Ferreira","Índice Ipardes de Desempenho Municipal (IPDM)",0.5096,0.6488,0.6507,0.6731,0.6532,0.6548,0.6202,0.684,0.6278
"285","Pranchita","Índice Ipardes de Desempenho Municipal (IPDM)",0.593,0.6729,0.6778,0.644,0.6006,0.6049,0.6583,0.7412,0.7311
"286","Presidente Castelo Branco","Índice Ipardes de Desempenho Municipal (IPDM)",0.623,0.6422,0.6562,0.6789,0.6259,0.6478,0.6543,0.7103,0.7063
"287","Primeiro de Maio","Índice Ipardes de Desempenho Municipal (IPDM)",0.5785,0.5985,0.6287,0.5983,0.6106,0.611,0.6182,0.6568,0.674
"288","Prudentópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.574,0.5981,0.5981,0.6344,0.6336,0.653,0.6635,0.6863,0.6928
"289","Quarto Centenário","Índice Ipardes de Desempenho Municipal (IPDM)",0.6106,0.6752,0.6354,0.638,0.6046,0.631,0.6532,0.6442,0.6931
"290","Quatiguá","Índice Ipardes de Desempenho Municipal (IPDM)",0.6119,0.6712,0.707,0.6642,0.6923,0.6994,0.7115,0.7266,0.7431
"291","Quatro Barras","Índice Ipardes de Desempenho Municipal (IPDM)",0.7021,0.706,0.7283,0.7447,0.7568,0.7517,0.7631,0.7933,0.8223
"292","Quatro Pontes","Índice Ipardes de Desempenho Municipal (IPDM)",0.7001,0.7369,0.7525,0.7966,0.779,0.7157,0.6767,0.724,0.7019
"293","Quedas do Iguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.5873,0.6292,0.6145,0.6621,0.6795,0.6774,0.6965,0.7192,0.7066
"294","Querência do Norte","Índice Ipardes de Desempenho Municipal (IPDM)",0.5012,0.5457,0.5808,0.6119,0.6371,0.633,0.6553,0.6456,0.653
"295","Quinta do Sol","Índice Ipardes de Desempenho Municipal (IPDM)",0.549,0.5523,0.5527,0.5588,0.5704,0.6323,0.6908,0.695,0.6856
"296","Quitandinha","Índice Ipardes de Desempenho Municipal (IPDM)",0.5221,0.5519,0.569,0.6359,0.639,0.6554,0.6501,0.6693,0.6255
"297","Ramilândia","Índice Ipardes de Desempenho Municipal (IPDM)",0.561,0.5188,0.4735,0.5683,0.5791,0.5565,0.5935,0.5791,0.5582
"298","Rancho Alegre","Índice Ipardes de Desempenho Municipal (IPDM)",0.5163,0.5338,0.4996,0.5745,0.6152,0.6681,0.6659,0.6448,0.6526
"299","Rancho Alegre D'Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.6779,0.7513,0.7318,0.6428,0.6162,0.64,0.5964,0.6855,0.6798
"300","Realeza","Índice Ipardes de Desempenho Municipal (IPDM)",0.6751,0.6924,0.6668,0.6686,0.6843,0.7117,0.729,0.7319,0.7391
"301","Rebouças","Índice Ipardes de Desempenho Municipal (IPDM)",0.5936,0.6184,0.6296,0.643,0.6535,0.6544,0.6274,0.6426,0.6601
"302","Renascença","Índice Ipardes de Desempenho Municipal (IPDM)",0.6309,0.6117,0.6031,0.6466,0.6819,0.702,0.7024,0.7305,0.7443
"303","Reserva","Índice Ipardes de Desempenho Municipal (IPDM)",0.4702,0.5185,0.4905,0.5308,0.5455,0.5744,0.5903,0.6309,0.6514
"304","Reserva do Iguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.4352,0.4814,0.4437,0.5158,0.5179,0.5552,0.5557,0.5764,0.6034
"305","Ribeirão Claro","Índice Ipardes de Desempenho Municipal (IPDM)",0.6515,0.6546,0.6315,0.6512,0.6559,0.6302,0.6139,0.6876,0.7196
"306","Ribeirão do Pinhal","Índice Ipardes de Desempenho Municipal (IPDM)",0.5417,0.5557,0.5631,0.5858,0.6392,0.633,0.6319,0.6452,0.6553
"307","Rio Azul","Índice Ipardes de Desempenho Municipal (IPDM)",0.5835,0.6095,0.5824,0.622,0.6295,0.6606,0.6675,0.6993,0.7043
"308","Rio Bom","Índice Ipardes de Desempenho Municipal (IPDM)",0.6945,0.6873,0.6575,0.7185,0.709,0.7341,0.7158,0.7245,0.711
"309","Rio Bonito do Iguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.5843,0.6139,0.5386,0.5808,0.5825,0.5772,0.5541,0.6298,0.624
"310","Rio Branco do Ivaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.5077,0.5639,0.5545,0.6003,0.6231,0.6886,0.6087,0.6472,0.6679
"311","Rio Branco do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.4373,0.4732,0.4602,0.4936,0.5545,0.6117,0.6295,0.6555,0.6612
"312","Rio Negro","Índice Ipardes de Desempenho Municipal (IPDM)",0.6022,0.6137,0.6305,0.6911,0.7207,0.7412,0.7484,0.7612,0.7686
"313","Rolândia","Índice Ipardes de Desempenho Municipal (IPDM)",0.7076,0.715,0.7184,0.7318,0.7257,0.7332,0.7386,0.7548,0.7542
"314","Roncador","Índice Ipardes de Desempenho Municipal (IPDM)",0.5537,0.6201,0.6192,0.6265,0.6378,0.6316,0.6413,0.6433,0.6903
"315","Rondon","Índice Ipardes de Desempenho Municipal (IPDM)",0.6741,0.727,0.7161,0.7813,0.7318,0.7251,0.6686,0.6944,0.6966
"316","Rosário do Ivaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.4947,0.5556,0.6035,0.6221,0.6298,0.6374,0.6807,0.7188,0.6672
"317","Sabáudia","Índice Ipardes de Desempenho Municipal (IPDM)",0.6541,0.7101,0.6716,0.7604,0.7826,0.7722,0.7816,0.7991,0.7948
"318","Salgado Filho","Índice Ipardes de Desempenho Municipal (IPDM)",0.5711,0.6356,0.6311,0.694,0.6958,0.683,0.677,0.7029,0.7293
"319","Salto do Itararé","Índice Ipardes de Desempenho Municipal (IPDM)",0.6021,0.5812,0.6104,0.6098,0.6333,0.5799,0.5958,0.652,0.6679
"320","Salto do Lontra","Índice Ipardes de Desempenho Municipal (IPDM)",0.5671,0.6392,0.6429,0.6965,0.6661,0.6592,0.6445,0.7002,0.7146
"321","Santa Amélia","Índice Ipardes de Desempenho Municipal (IPDM)",0.5823,0.5215,0.515,0.5558,0.5911,0.6453,0.6735,0.6819,0.6771
"322","Santa Cecília do Pavão","Índice Ipardes de Desempenho Municipal (IPDM)",0.4773,0.5539,0.5226,0.6663,0.6477,0.649,0.6035,0.6582,0.6417
"323","Santa Cruz de Monte Castelo","Índice Ipardes de Desempenho Municipal (IPDM)",0.5934,0.6388,0.607,0.6242,0.6412,0.6526,0.6437,0.6189,0.5911
"324","Santa Fé","Índice Ipardes de Desempenho Municipal (IPDM)",0.585,0.6022,0.5686,0.6326,0.6356,0.6847,0.6759,0.7291,0.7398
"325","Santa Helena","Índice Ipardes de Desempenho Municipal (IPDM)",0.6541,0.6905,0.6757,0.7201,0.7206,0.7578,0.7537,0.7533,0.7338
"326","Santa Inês","Índice Ipardes de Desempenho Municipal (IPDM)",0.6504,0.5872,0.6323,0.667,0.6929,0.7205,0.6561,0.631,0.6483
"327","Santa Isabel do Ivaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.6345,0.6764,0.6762,0.6695,0.6561,0.6558,0.6623,0.646,0.6421
"328","Santa Izabel do Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.652,0.6745,0.6747,0.6909,0.6869,0.682,0.6834,0.7207,0.7298
"329","Santa Lúcia","Índice Ipardes de Desempenho Municipal (IPDM)",0.6332,0.6035,0.6198,0.638,0.63,0.6395,0.6299,0.6676,0.6779
"330","Santa Maria do Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.4034,0.4597,0.4687,0.5456,0.549,0.5507,0.5103,0.5078,0.5078
"331","Santa Mariana","Índice Ipardes de Desempenho Municipal (IPDM)",0.5328,0.5255,0.5277,0.5404,0.5703,0.5836,0.6282,0.6975,0.7027
"332","Santa Mônica","Índice Ipardes de Desempenho Municipal (IPDM)",0.6153,0.6208,0.6282,0.6319,0.6509,0.6328,0.6237,0.6741,0.6849
"333","Santa Tereza do Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.617,0.6536,0.6459,0.6634,0.6535,0.6437,0.6678,0.68,0.6915
"334","Santa Terezinha de Itaipu","Índice Ipardes de Desempenho Municipal (IPDM)",0.6716,0.6879,0.6619,0.6554,0.6589,0.6894,0.6915,0.7076,0.719
"335","Santana do Itararé","Índice Ipardes de Desempenho Municipal (IPDM)",0.5119,0.5521,0.5607,0.5866,0.5948,0.5887,0.6433,0.6386,0.6301
"336","Santo Antônio da Platina","Índice Ipardes de Desempenho Municipal (IPDM)",0.5834,0.5805,0.5765,0.622,0.645,0.6649,0.6711,0.6837,0.6783
"337","Santo Antônio do Caiuá","Índice Ipardes de Desempenho Municipal (IPDM)",0.6435,0.6031,0.5915,0.6318,0.6671,0.6836,0.6901,0.6917,0.7039
"338","Santo Antônio do Paraíso","Índice Ipardes de Desempenho Municipal (IPDM)",0.6003,0.5954,0.5795,0.6219,0.6189,0.5548,0.5855,0.5642,0.5623
"339","Santo Antônio do Sudoeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.579,0.6288,0.632,0.6503,0.6325,0.6496,0.6925,0.722,0.7024
"340","Santo Inácio","Índice Ipardes de Desempenho Municipal (IPDM)",0.6729,0.7297,0.7387,0.7295,0.726,0.75,0.7529,0.7883,0.7857
