"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"40","Boa Vista da Aparecida","Índice Ipardes de Desempenho Municipal (IPDM)",0.5866,0.6026,0.6159,0.6064,0.6148,0.629,0.6636,0.6868,0.6967
"41","Bocaiúva do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.3651,0.4325,0.4642,0.4985,0.5538,0.4918,0.5776,0.5291,0.5459
"42","Bom Jesus do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.666,0.7119,0.6249,0.6343,0.6184,0.6288,0.6697,0.7069,0.6989
"43","Bom Sucesso","Índice Ipardes de Desempenho Municipal (IPDM)",0.5422,0.573,0.6368,0.6832,0.6659,0.6487,0.6688,0.7052,0.6542
"44","Bom Sucesso do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.638,0.5667,0.5599,0.7044,0.7091,0.7256,0.7137,0.7425,0.7409
"45","Borrazópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.6171,0.6134,0.6079,0.6502,0.6355,0.6507,0.6819,0.7092,0.732
"46","Braganey","Índice Ipardes de Desempenho Municipal (IPDM)",0.615,0.6795,0.593,0.5956,0.5798,0.6211,0.6336,0.6735,0.6601
"47","Brasilândia do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.6208,0.6723,0.6364,0.6558,0.6544,0.629,0.6021,0.6049,0.647
"48","Cafeara","Índice Ipardes de Desempenho Municipal (IPDM)",0.6221,0.556,0.559,0.6153,0.6842,0.658,0.6445,0.6343,0.6711
"49","Cafelândia","Índice Ipardes de Desempenho Municipal (IPDM)",0.7687,0.7956,0.7726,0.7622,0.7632,0.7923,0.8029,0.822,0.8193
"50","Cafezal do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.6086,0.6305,0.6159,0.629,0.5892,0.5351,0.532,0.5819,0.662
"51","Califórnia","Índice Ipardes de Desempenho Municipal (IPDM)",0.6889,0.6633,0.6679,0.6777,0.706,0.708,0.704,0.7064,0.7036
"52","Cambará","Índice Ipardes de Desempenho Municipal (IPDM)",0.5957,0.5636,0.5702,0.5803,0.6123,0.6128,0.6334,0.6614,0.6897
"53","Cambé","Índice Ipardes de Desempenho Municipal (IPDM)",0.6779,0.6825,0.6825,0.6974,0.6895,0.705,0.7094,0.7394,0.7388
"54","Cambira","Índice Ipardes de Desempenho Municipal (IPDM)",0.676,0.709,0.6898,0.7206,0.7408,0.7623,0.75,0.7257,0.7241
"55","Campina da Lagoa","Índice Ipardes de Desempenho Municipal (IPDM)",0.5583,0.5905,0.6057,0.6401,0.665,0.6876,0.7075,0.7166,0.7114
"56","Campina do Simão","Índice Ipardes de Desempenho Municipal (IPDM)",0.5023,0.4894,0.4764,0.5899,0.5594,0.5991,0.5976,0.7007,0.6845
"57","Campina Grande do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.567,0.6132,0.5777,0.6219,0.6274,0.6494,0.6711,0.6683,0.6588
"58","Campo Bonito","Índice Ipardes de Desempenho Municipal (IPDM)",0.593,0.6028,0.6142,0.6402,0.6794,0.6462,0.6672,0.7014,0.7337
