"city_code";"group_code";"variable_code";"type_code";"standard_code";"year";"result";"population"
4101200;1;6;1;6;"2010";14858;17743
4101200;1;7;1;6;"2010";44705;17743
4101200;1;8;1;6;"2010";14026;17743
4101309;1;1;1;6;"2010";111407;7750
4101309;1;2;1;6;"2010";107898;7750
4101309;1;3;1;6;"2010";67230;7750
4101309;1;4;1;6;"2010";3781;7750
4101309;1;5;1;6;"2010";19467;7750
4101309;1;6;1;6;"2010";15155;7750
4101309;1;7;1;6;"2010";17419;7750
4101309;1;8;1;6;"2010";3510;7750
4101408;1;1;1;6;"2010";1749964;121290
4101408;1;2;1;6;"2010";1591394;121290
4101408;1;3;1;6;"2010";71738;121290
4101408;1;4;1;6;"2010";466513;121290
4101408;1;5;1;6;"2010";792868;121290
4101408;1;6;1;6;"2010";14472;121290
4101408;1;7;1;6;"2010";260275;121290
4101408;1;8;1;6;"2010";158570;121290
4101507;1;1;1;6;"2010";2621393;103025
4101507;1;2;1;6;"2010";2330088;103025
4101507;1;3;1;6;"2010";97156;103025
4101507;1;4;1;6;"2010";1014720;103025
4101507;1;5;1;6;"2010";1002853;103025
4101507;1;6;1;6;"2010";25169;103025
4101507;1;7;1;6;"2010";215359;103025
4101507;1;8;1;6;"2010";291305;103025
4101606;1;1;1;6;"2010";596609;26998
4101606;1;2;1;6;"2010";517340;26998
4101606;1;3;1;6;"2010";136269;26998
4101606;1;4;1;6;"2010";170711;26998
4101606;1;5;1;6;"2010";153329;26998
4101606;1;6;1;6;"2010";23075;26998
4101606;1;7;1;6;"2010";57031;26998
4101606;1;8;1;6;"2010";79269;26998
4101655;1;1;1;6;"2010";38932;4017
4101655;1;2;1;6;"2010";37860;4017
4101655;1;3;1;6;"2010";18833;4017
4101655;1;4;1;6;"2010";2059;4017
4101655;1;5;1;6;"2010";7263;4017
4101655;1;6;1;6;"2010";10933;4017
4101655;1;7;1;6;"2010";9705;4017
4101655;1;8;1;6;"2010";1072;4017
4101705;1;1;1;6;"2010";238326;12962
4101705;1;2;1;6;"2010";209780;12962
4101705;1;3;1;6;"2010";46730;12962
4101705;1;4;1;6;"2010";78160;12962
4101705;1;5;1;6;"2010";55701;12962
4101705;1;6;1;6;"2010";17760;12962
4101705;1;7;1;6;"2010";29190;12962
4101705;1;8;1;6;"2010";28546;12962
4101804;1;1;1;6;"2010";8993872;117964
4101804;1;2;1;6;"2010";7316161;117964
4101804;1;3;1;6;"2010";62192;117964
4101804;1;4;1;6;"2010";3788963;117964
4101804;1;5;1;6;"2010";3038393;117964
4101804;1;6;1;6;"2010";75501;117964
4101804;1;7;1;6;"2010";426612;117964
4101804;1;8;1;6;"2010";1677711;117964
4101853;1;1;1;6;"2010";36564;2533
4101853;1;2;1;6;"2010";35858;2533
4101853;1;3;1;6;"2010";20975;2533
4101853;1;4;1;6;"2010";1746;2533
4101853;1;5;1;6;"2010";5828;2533
4101853;1;6;1;6;"2010";14906;2533
4101853;1;7;1;6;"2010";7309;2533
4101853;1;8;1;6;"2010";707;2533
4101903;1;1;1;6;"2010";264776;16112
4101903;1;2;1;6;"2010";244755;16112
4101903;1;3;1;6;"2010";48106;16112
4101903;1;4;1;6;"2010";69030;16112
4101903;1;5;1;6;"2010";92443;16112
4101903;1;6;1;6;"2010";16190;16112
4101903;1;7;1;6;"2010";35176;16112
4101903;1;8;1;6;"2010";20021;16112
4102000;1;1;1;6;"2010";556880;33023
4102000;1;2;1;6;"2010";514752;33023
4102000;1;3;1;6;"2010";155608;33023
4102000;1;4;1;6;"2010";33837;33023
4102000;1;5;1;6;"2010";253103;33023
4102000;1;6;1;6;"2010";16862;33023
4102000;1;7;1;6;"2010";72204;33023
4102000;1;8;1;6;"2010";42128;33023
4102109;1;1;1;6;"2010";303423;25164
4102109;1;2;1;6;"2010";282812;25164
4102109;1;3;1;6;"2010";59408;25164
4102109;1;4;1;6;"2010";39113;25164
4102109;1;5;1;6;"2010";129562;25164
4102109;1;6;1;6;"2010";12285;25164
4102109;1;7;1;6;"2010";54729;25164
4102109;1;8;1;6;"2010";20611;25164
4102208;1;1;1;6;"2010";55078;3645
4102208;1;2;1;6;"2010";51510;3645
4102208;1;3;1;6;"2010";17039;3645
4102208;1;4;1;6;"2010";5121;3645
4102208;1;5;1;6;"2010";18483;3645
4102208;1;6;1;6;"2010";14076;3645
4102208;1;7;1;6;"2010";10867;3645
4102208;1;8;1;6;"2010";3568;3645
4102307;1;1;1;6;"2010";377393;11252
4102307;1;2;1;6;"2010";339640;11252
4102307;1;3;1;6;"2010";21722;11252
4102307;1;4;1;6;"2010";198244;11252
4102307;1;5;1;6;"2010";90579;11252
4102307;1;6;1;6;"2010";33398;11252
4102307;1;7;1;6;"2010";29094;11252
4102307;1;8;1;6;"2010";37753;11252
4102406;1;1;1;6;"2010";330650;32994
4102406;1;2;1;6;"2010";308673;32994
4102406;1;3;1;6;"2010";62321;32994
4102406;1;4;1;6;"2010";36412;32994
4102406;1;5;1;6;"2010";143755;32994
4102406;1;6;1;6;"2010";10274;32994
4102406;1;7;1;6;"2010";66184;32994
4102406;1;8;1;6;"2010";21978;32994
4102505;1;1;1;6;"2010";94223;13995
4102505;1;2;1;6;"2010";90232;13995
4102505;1;3;1;6;"2010";27111;13995
4102505;1;4;1;6;"2010";5498;13995
4102505;1;5;1;6;"2010";29592;13995
4102505;1;6;1;6;"2010";7445;13995
4102505;1;7;1;6;"2010";28031;13995
4102505;1;8;1;6;"2010";3992;13995
4102703;1;1;1;6;"2010";43829;2860
4102703;1;2;1;6;"2010";42683;2860
4102703;1;3;1;6;"2010";23868;2860
4102703;1;4;1;6;"2010";3701;2860
4102703;1;5;1;6;"2010";7341;2860
4102703;1;6;1;6;"2010";16072;2860
4102703;1;7;1;6;"2010";7772;2860
4102703;1;8;1;6;"2010";1146;2860
4102604;1;1;1;6;"2010";115204;9267
4102604;1;2;1;6;"2010";103134;9267
4102604;1;3;1;6;"2010";19396;9267
4102604;1;4;1;6;"2010";7826;9267
4102604;1;5;1;6;"2010";54865;9267
4102604;1;6;1;6;"2010";11834;9267
4102604;1;7;1;6;"2010";21047;9267
4102604;1;8;1;6;"2010";12070;9267
4102752;1;1;1;6;"2010";42133;4176
4102752;1;2;1;6;"2010";40636;4176
4102752;1;3;1;6;"2010";20867;4176
4102752;1;4;1;6;"2010";1749;4176
4102752;1;5;1;6;"2010";8396;4176
4102752;1;6;1;6;"2010";10680;4176
4102752;1;7;1;6;"2010";9624;4176
4102752;1;8;1;6;"2010";1496;4176
4102802;1;1;1;6;"2010";197810;15496
4102802;1;2;1;6;"2010";179156;15496
4102802;1;3;1;6;"2010";30037;15496
4102802;1;4;1;6;"2010";15657;15496
4102802;1;5;1;6;"2010";101098;15496
4102802;1;6;1;6;"2010";13118;15496
4102802;1;7;1;6;"2010";32363;15496
4102802;1;8;1;6;"2010";18654;15496
4102901;1;1;1;6;"2010";155974;16803
4102901;1;2;1;6;"2010";145454;16803
4102901;1;3;1;6;"2010";43074;16803
4102901;1;4;1;6;"2010";24053;16803
4102901;1;5;1;6;"2010";39969;16803
4102901;1;6;1;6;"2010";9822;16803
4102901;1;7;1;6;"2010";38358;16803
4102901;1;8;1;6;"2010";10521;16803
4103008;1;1;1;6;"2010";96184;4742
4103008;1;2;1;6;"2010";90350;4742
4103008;1;3;1;6;"2010";36392;4742
4103008;1;4;1;6;"2010";6410;4742
4103008;1;5;1;6;"2010";35088;4742
4103008;1;6;1;6;"2010";21056;4742
4103008;1;7;1;6;"2010";12459;4742
4103008;1;8;1;6;"2010";5834;4742
4103024;1;1;1;6;"2010";44409;2898
4103024;1;2;1;6;"2010";42647;2898
4103024;1;3;1;6;"2010";22465;2898
4103024;1;4;1;6;"2010";2045;2898
4103024;1;5;1;6;"2010";9860;2898
4103024;1;6;1;6;"2010";16067;2898
4103024;1;7;1;6;"2010";8278;2898
4103024;1;8;1;6;"2010";1761;2898
4103040;1;1;1;6;"2010";98338;6964
4103040;1;2;1;6;"2010";92904;6964
4103040;1;3;1;6;"2010";46246;6964
4103040;1;4;1;6;"2010";7586;6964
4103040;1;5;1;6;"2010";23031;6964
4103040;1;6;1;6;"2010";15004;6964
4103040;1;7;1;6;"2010";16042;6964
4103040;1;8;1;6;"2010";5433;6964
4103057;1;1;1;6;"2010";60033;7919
4103057;1;2;1;6;"2010";56925;7919
4103057;1;3;1;6;"2010";16793;7919
4103057;1;4;1;6;"2010";5149;7919
4103057;1;5;1;6;"2010";16642;7919
4103057;1;6;1;6;"2010";7589;7919
4103057;1;7;1;6;"2010";18341;7919
4103057;1;8;1;6;"2010";3108;7919
4103107;1;1;1;6;"2010";110463;9989
4103107;1;2;1;6;"2010";102518;9989
4103107;1;3;1;6;"2010";30408;9989
4103107;1;4;1;6;"2010";15891;9989
4103107;1;5;1;6;"2010";31893;9989
4103107;1;6;1;6;"2010";10054;9989
4103107;1;7;1;6;"2010";24326;9989
4103107;1;8;1;6;"2010";7945;9989
4103156;1;1;1;6;"2010";33894;3879
4103156;1;2;1;6;"2010";33043;3879
4103156;1;3;1;6;"2010";17335;3879
4103156;1;4;1;6;"2010";1258;3879
4103156;1;5;1;6;"2010";4780;3879
4103156;1;6;1;6;"2010";8929;3879
4103156;1;7;1;6;"2010";9670;3879
4103156;1;8;1;6;"2010";851;3879
4103206;1;1;1;6;"2010";62135;6676
4103206;1;2;1;6;"2010";60004;6676
4103206;1;3;1;6;"2010";26593;6676
4103206;1;4;1;6;"2010";4393;6676
4103206;1;5;1;6;"2010";13608;6676
4103206;1;6;1;6;"2010";9470;6676
4103206;1;7;1;6;"2010";15410;6676
4103206;1;8;1;6;"2010";2130;6676
4103222;1;1;1;6;"2010";68411;3075
4103222;1;2;1;6;"2010";63840;3075
4103222;1;3;1;6;"2010";30030;3075
4103222;1;4;1;6;"2010";3174;3075
4103222;1;5;1;6;"2010";21264;3075
4103222;1;6;1;6;"2010";20775;3075
4103222;1;7;1;6;"2010";9372;3075
4103222;1;8;1;6;"2010";4571;3075
4103305;1;1;1;6;"2010";86640;8235
4103305;1;2;1;6;"2010";80868;8235
4103305;1;3;1;6;"2010";23685;8235
4103305;1;4;1;6;"2010";4039;8235
4103305;1;5;1;6;"2010";35329;8235
4103305;1;6;1;6;"2010";10998;8235
4103305;1;7;1;6;"2010";17816;8235
4103305;1;8;1;6;"2010";5772;8235
4103354;1;1;1;6;"2010";78664;6209
4103354;1;2;1;6;"2010";75135;6209
4103354;1;3;1;6;"2010";37476;6209
4103354;1;4;1;6;"2010";4086;6209
4103354;1;5;1;6;"2010";21371;6209
4103354;1;6;1;6;"2010";13716;6209
4103354;1;7;1;6;"2010";12201;6209
4103354;1;8;1;6;"2010";3529;6209
4103370;1;1;1;6;"2010";70740;3260
4103370;1;2;1;6;"2010";66445;3260
4103370;1;3;1;6;"2010";31451;3260
4103370;1;4;1;6;"2010";3134;3260
4103370;1;5;1;6;"2010";22278;3260
4103370;1;6;1;6;"2010";22044;3260
4103370;1;7;1;6;"2010";9581;3260
4103370;1;8;1;6;"2010";4295;3260
4103404;1;1;1;6;"2010";34697;2853
4103404;1;2;1;6;"2010";33696;2853
4103404;1;3;1;6;"2010";15768;2853
4103404;1;4;1;6;"2010";2145;2853
4103404;1;5;1;6;"2010";7496;2853
4103404;1;6;1;6;"2010";12875;2853
4103404;1;7;1;6;"2010";8287;2853
4103404;1;8;1;6;"2010";1002;2853
4103453;1;1;1;6;"2010";483399;14034
4103453;1;2;1;6;"2010";440018;14034
4103453;1;3;1;6;"2010";74337;14034
4103453;1;4;1;6;"2010";141153;14034
4103453;1;5;1;6;"2010";190146;14034
4103453;1;6;1;6;"2010";32970;14034
4103453;1;7;1;6;"2010";34382;14034
4103453;1;8;1;6;"2010";43380;14034
4103479;1;1;1;6;"2010";37928;4313
4103479;1;2;1;6;"2010";36931;4313
4103479;1;3;1;6;"2010";16861;4313
4103479;1;4;1;6;"2010";1816;4313
4103479;1;5;1;6;"2010";7116;4313
4103479;1;6;1;6;"2010";8841;4313
4103479;1;7;1;6;"2010";11138;4313
4103479;1;8;1;6;"2010";997;4313
4103503;1;1;1;6;"2010";63173;7767
4103503;1;2;1;6;"2010";58823;7767
4103503;1;3;1;6;"2010";16036;7767
4103503;1;4;1;6;"2010";4494;7767
4103503;1;5;1;6;"2010";20850;7767
4103503;1;6;1;6;"2010";7829;7767
4103503;1;7;1;6;"2010";17442;7767
4103503;1;8;1;6;"2010";4350;7767
4103602;1;1;1;6;"2010";334472;25102
4103602;1;2;1;6;"2010";304103;25102
4103602;1;3;1;6;"2010";56940;25102
4103602;1;4;1;6;"2010";73880;25102
4103602;1;5;1;6;"2010";122941;25102
4103602;1;6;1;6;"2010";14003;25102
4103602;1;7;1;6;"2010";50341;25102
4103602;1;8;1;6;"2010";30369;25102
4103701;1;1;1;6;"2010";1766840;97329
4103701;1;2;1;6;"2010";1516953;97329
4103701;1;3;1;6;"2010";91316;97329
4103701;1;4;1;6;"2010";445114;97329
4103701;1;5;1;6;"2010";777063;97329
4103701;1;6;1;6;"2010";18265;97329
4103701;1;7;1;6;"2010";203459;97329
4103701;1;8;1;6;"2010";249887;97329
4103800;1;1;1;6;"2010";96147;7142
4103800;1;2;1;6;"2010";88600;7142
4103800;1;3;1;6;"2010";22080;7142
4103800;1;4;1;6;"2010";18230;7142
4103800;1;5;1;6;"2010";31202;7142
4103800;1;6;1;6;"2010";13287;7142
4103800;1;7;1;6;"2010";17087;7142
4103800;1;8;1;6;"2010";7547;7142
4103909;1;1;1;6;"2010";188701;16243
4103909;1;2;1;6;"2010";179116;16243
4103909;1;3;1;6;"2010";65995;16243
4103909;1;4;1;6;"2010";12920;16243
4103909;1;5;1;6;"2010";65602;16243
4103909;1;6;1;6;"2010";12258;16243
4103909;1;7;1;6;"2010";34600;16243
4103909;1;8;1;6;"2010";9584;16243
4103958;1;1;1;6;"2010";43473;4272
4103958;1;2;1;6;"2010";42213;4272
4103958;1;3;1;6;"2010";17582;4272
4103958;1;4;1;6;"2010";7988;4272
4103958;1;5;1;6;"2010";6450;4272
4103958;1;6;1;6;"2010";10666;4272
4103958;1;7;1;6;"2010";10193;4272
4103958;1;8;1;6;"2010";1260;4272
4104006;1;1;1;6;"2010";665119;36825
4104006;1;2;1;6;"2010";568016;36825
4104006;1;3;1;6;"2010";14580;36825
4104006;1;4;1;6;"2010";118107;36825
4104006;1;5;1;6;"2010";351086;36825
4104006;1;6;1;6;"2010";17156;36825
4104006;1;7;1;6;"2010";84243;36825
4104006;1;8;1;6;"2010";97103;36825
4104055;1;1;1;6;"2010";76331;4385
4104055;1;2;1;6;"2010";74083;4385
4104055;1;3;1;6;"2010";44238;4385
4104055;1;4;1;6;"2010";3552;4385
4104055;1;5;1;6;"2010";14689;4385
4104055;1;6;1;6;"2010";17320;4385
4104055;1;7;1;6;"2010";11604;4385
4104055;1;8;1;6;"2010";2248;4385
4104105;1;1;1;6;"2010";107818;6715
4104105;1;2;1;6;"2010";101624;6715
4104105;1;3;1;6;"2010";48935;6715
4104105;1;4;1;6;"2010";9619;6715
4104105;1;5;1;6;"2010";26809;6715
4104105;1;6;1;6;"2010";15132;6715
4104105;1;7;1;6;"2010";16260;6715
4104105;1;8;1;6;"2010";6194;6715
4104204;1;1;1;6;"2010";1753400;112548
4104204;1;2;1;6;"2010";1485904;112548
4104204;1;3;1;6;"2010";49035;112548
4104204;1;4;1;6;"2010";556667;112548
4104204;1;5;1;6;"2010";647843;112548
