city;nr;variable;standard;area;production;slaughter;gpv
ABATIA;Cornélio Procópio;AMENDOIM SAFRA DAS AGUAS;TON;1;2,15;;4.146,06
ABATIA;Cornélio Procópio;ARROZ IRRIGADO;TON;2;9,52;;7.809,54
ABATIA;Cornélio Procópio;ARROZ SEQUEIRO;TON;28;58,8;;48.686,40
ABATIA;Cornélio Procópio;BANANA;TON;130;2340;;1.226.370,60
ABATIA;Cornélio Procópio;BEZERRAS;CAB;;;91;54.858,44
ABATIA;Cornélio Procópio;BEZERROS;CAB;;;363;266.118,93
ABATIA;Cornélio Procópio;BOVINOS (BOI GORDO);KG;;18071;2970;5.332.635,00
ABATIA;Cornélio Procópio;CAFE;TON;654;901,4;;4.128.412,00
ABATIA;Cornélio Procópio;CAMA DE AVIARIO;TON;;560;;41.160,00
ABATIA;Cornélio Procópio;CANA-DE-ACUCAR;TON;700;58100;;2.976.463,00
ABATIA;Cornélio Procópio;CAPRINOS (PARA CORTE);KG;;216;37;6.956,00
ABATIA;Cornélio Procópio;EQUINOS (PARA CORTE);KG;;348;35;6.237,00
ABATIA;Cornélio Procópio;ESTERCO DE SUINOS/BOVINOS;TON;;3390;;169.737,30
ABATIA;Cornélio Procópio;FEIJAO SAFRA DA SECA;TON;6;2,88;;7.656,48
ABATIA;Cornélio Procópio;FEIJAO SAFRA DAS AGUAS;TON;32;28,16;;69.827,51
ABATIA;Cornélio Procópio;FEIJAO SAFRA DE INVERNO;TON;18;9;;21.426,03
ABATIA;Cornélio Procópio;FENO DE ALFAFA;TON;;2392;;1.463.449,52
ABATIA;Cornélio Procópio;FRANGO DE CORTE (AVES DE CORTE);KG;;61745;370471;1.573.946,04
ABATIA;Cornélio Procópio;GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO);KG;;2674;1337;22.341,27
ABATIA;Cornélio Procópio;GARROTES;CAB;;;335;326.638,40
ABATIA;Cornélio Procópio;LEITE;MLT;;629;;578.680,00
ABATIA;Cornélio Procópio;MADEIRAS - EM TORA P/OUTRAS FINALIDADES;M3;;1095;;92.505,60
ABATIA;Cornélio Procópio;MADEIRAS - EM TORA P/SERRARIA - OUTRAS;M3;;990;;87.199,20
ABATIA;Cornélio Procópio;MADEIRAS - LENHA;M3;;5540;;192.736,60
ABATIA;Cornélio Procópio;MANDIOCA CONSUMO (HUMANO);TON;4;80;;65.472,00
ABATIA;Cornélio Procópio;MARACUJA;TON;5,5;126,5;;251.735,00
ABATIA;Cornélio Procópio;MEL;KG;;3000;;16.980,00
ABATIA;Cornélio Procópio;MILHO SAFRA NORMAL;TON;390;2893,8;;983.892,00
ABATIA;Cornélio Procópio;MILHO SAFRINHA;TON;4728;17928,58;;5.970.217,14
ABATIA;Cornélio Procópio;NOVILHAS;CAB;;;231;213.915,24
ABATIA;Cornélio Procópio;OVINOS (PARA CORTE);KG;;751;375;55.957,50
ABATIA;Cornélio Procópio;OVOS DE GALINHA (FECUNDADO);DZ;;476255;;2.690.840,75
ABATIA;Cornélio Procópio;PACU;KG;;;2000;10.900,00
ABATIA;Cornélio Procópio;SOJA SAFRA NORMAL;TON;7500;24450;;25.546.093,50
ABATIA;Cornélio Procópio;SUINOS-COMUM (para abate);KG;;1140;1824;350.937,60
ABATIA;Cornélio Procópio;SUINOS-RACA (para abate);KG;;292;639;204.160,50
ABATIA;Cornélio Procópio;TILAPIA;KG;;;8000;32.080,00
ABATIA;Cornélio Procópio;TOMATE RISCO;TON;1;27,5;;50.910,75
ABATIA;Cornélio Procópio;TOMATE SAFRAO;TON;6;216;;520.372,08
ABATIA;Cornélio Procópio;TOUROS;CAB;;;72;192.441,60
ABATIA;Cornélio Procópio;TRIGO;TON;1550;2914;;2.148.579,62
ABATIA;Cornélio Procópio;VACA (PARA CORTE);KG;;;406;522.643,80
ABATIA;Cornélio Procópio;VACA (PARA CRIA);CAB;;;407;651.212,21
ADRIANOPOLIS;Curitiba;ABOBORA (seca/madura);TON;19;361;;234.650,00
ADRIANOPOLIS;Curitiba;ABOBORA-TETSUKABUTO (KABOTIA);TON;3;60;;45.000,00
ADRIANOPOLIS;Curitiba;ABOBRINHA VERDE;TON;31;576;;552.960,00
ADRIANOPOLIS;Curitiba;AGRIAO AQUATICO;TON;3;61;;118.340,00
ADRIANOPOLIS;Curitiba;ALFACE;TON;1;19;;17.522,18
ADRIANOPOLIS;Curitiba;ARROZ SEQUEIRO;TON;5;5,25;;4.347,00
ADRIANOPOLIS;Curitiba;BANANA;TON;60;2700;;1.415.043,00
ADRIANOPOLIS;Curitiba;BATATA DOCE;TON;15;247;;232.180,00
ADRIANOPOLIS;Curitiba;BERINJELA;TON;5;142;;156.200,00
ADRIANOPOLIS;Curitiba;BETERRABA;TON;1;23;;23.690,00
ADRIANOPOLIS;Curitiba;BEZERRAS;CAB;;;102;61.489,68
ADRIANOPOLIS;Curitiba;BEZERROS;CAB;;0;163;119.496,93
ADRIANOPOLIS;Curitiba;BOVINOS (BOI GORDO);KG;;16972;1270;1.934.019,50
ADRIANOPOLIS;Curitiba;BUBALINOS (PARA CORTE);KG;;1978;300;431.148,00
ADRIANOPOLIS;Curitiba;CANA-DE-ACUCAR;TON;450;18990;;972.857,70
ADRIANOPOLIS;Curitiba;CAPRINOS (PARA CORTE);KG;;150;72;10.828,80
ADRIANOPOLIS;Curitiba;CAQUI;TON;2;15;;6.420,00
ADRIANOPOLIS;Curitiba;CARPA;KG;;;8000;35.360,00
ADRIANOPOLIS;Curitiba;CHUCHU;TON;25;1045;;890.622,15
ADRIANOPOLIS;Curitiba;COUVE-FLOR;TON;1;23;;84.180,00
ADRIANOPOLIS;Curitiba;ESTERCO DE SUINOS/BOVINOS;TON;;7110;;355.997,70
ADRIANOPOLIS;Curitiba;FEIJAO SAFRA DA SECA;TON;320;361,6;;961.313,60
ADRIANOPOLIS;Curitiba;FEIJAO SAFRA DAS AGUAS;TON;1200;1398,3;;3.467.322,56
ADRIANOPOLIS;Curitiba;FEIJAO-VAGEM;TON;35;663;;1.113.840,00
ADRIANOPOLIS;Curitiba;FIGO;TON;1;10;;36.600,00
ADRIANOPOLIS;Curitiba;GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO);KG;;39000;58500;977.535,00
ADRIANOPOLIS;Curitiba;GARROTES;CAB;;;542;528.471,68
ADRIANOPOLIS;Curitiba;LA;KG;;228;;544,92
ADRIANOPOLIS;Curitiba;LARANJA;TON;10;150;;38.644,50
ADRIANOPOLIS;Curitiba;LEITE;MLT;;7537,3;;6.934.316,00
ADRIANOPOLIS;Curitiba;LEITE DE BUFALA;LIT;;64350;;59.845,50
ADRIANOPOLIS;Curitiba;LEITE DE CABRA;LIT;;4490;;9.922,90
ADRIANOPOLIS;Curitiba;LIMAO;TON;2;25;;26.000,00
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/LAMINADORA - PINUS;M3;;34000;;3.621.000,00
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/OUTRAS FINALIDADES;M3;0;150000;;12.672.000,00
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/PAPEL E CELULOSE;M3;;100000;;4.874.000,00
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/SERRARIA - EUCALIPTO;M3;2900;115000;;8.827.400,00
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/SERRARIA - PINUS;M3;18100;257000;;21.336.140,00
ADRIANOPOLIS;Curitiba;MADEIRAS - LENHA;M3;;18000;;626.220,00
ADRIANOPOLIS;Curitiba;MANDIOCA CONSUMO (HUMANO);TON;1080;17118;;14.009.371,20
ADRIANOPOLIS;Curitiba;MANDIOCA INDUSTRIA;TON;270;4279,5;;1.716.635,84
ADRIANOPOLIS;Curitiba;MARACUJA;TON;20;314;;624.860,00
ADRIANOPOLIS;Curitiba;MEL;KG;;19000;;107.540,00
ADRIANOPOLIS;Curitiba;MELANCIA;TON;14;287;;163.590,00
ADRIANOPOLIS;Curitiba;MILHO SAFRA NORMAL;TON;3025;15750;;5.355.000,00
ADRIANOPOLIS;Curitiba;MILHO VERDE (espiga);UNI;3,25;130000;;49.400,00
ADRIANOPOLIS;Curitiba;MORANGA;TON;13;236;;115.640,00
ADRIANOPOLIS;Curitiba;NOVILHAS;CAB;;;280;259.291,20
ADRIANOPOLIS;Curitiba;OVINOS (PARA CORTE);KG;;140;30;4.103,55
ADRIANOPOLIS;Curitiba;OVINOS < 6 MESES;KG;;;20;2.465,68
ADRIANOPOLIS;Curitiba;OVOS DE GALINHA (PARA CONSUMO);DZ;;585000;;1.134.900,00
ADRIANOPOLIS;Curitiba;PEPINO;TON;14;348;;392.857,20
ADRIANOPOLIS;Curitiba;PIMENTAO;TON;13;332;;453.561,80
ADRIANOPOLIS;Curitiba;REPOLHO;TON;3;93;;36.602,01
ADRIANOPOLIS;Curitiba;RESINA;KG;;45000;;78.750,00
ADRIANOPOLIS;Curitiba;SUINOS - LEITOES P/ CORTE;KG;;;320;32.601,60
ADRIANOPOLIS;Curitiba;SUINOS-COMUM (para abate);KG;;320;1280;299.315,20
ADRIANOPOLIS;Curitiba;SUINOS-RACA (para abate);KG;;100;;                      -  
ADRIANOPOLIS;Curitiba;TANGERINA MURCOTE;TON;5;74;;48.840,00
ADRIANOPOLIS;Curitiba;TANGERINA PONKAN;TON;10;210;;96.600,00
ADRIANOPOLIS;Curitiba;TOMATE SAFRAO;TON;25;1176;;2.833.136,88
ADRIANOPOLIS;Curitiba;TOUROS;CAB;;;3;8.018,40
ADRIANOPOLIS;Curitiba;VACA (PARA CORTE);KG;;;909;1.203.588,72
ADRIANOPOLIS;Curitiba;VACA (PARA CRIA);CAB;;;600;960.018,00
AGUDOS DO SUL;Curitiba;ABOBORA (seca/madura);TON;45;1100;;715.000,00
AGUDOS DO SUL;Curitiba;ABOBORA-TETSUKABUTO (KABOTIA);TON;6;150;;112.500,00
AGUDOS DO SUL;Curitiba;ABOBRINHA VERDE;TON;3;45;;43.200,00
AGUDOS DO SUL;Curitiba;ALFACE;TON;8;80;;73.777,60
AGUDOS DO SUL;Curitiba;BAGRE;KG;;;1000;4.390,00
AGUDOS DO SUL;Curitiba;BATATA DAS AGUAS;TON;11;214,5;;193.693,50
AGUDOS DO SUL;Curitiba;BATATA SALSA;TON;250;3750;;6.516.000,00
AGUDOS DO SUL;Curitiba;BETERRABA;TON;8;160;;164.800,00
AGUDOS DO SUL;Curitiba;BEZERRAS;CAB;;;12;7.234,08
AGUDOS DO SUL;Curitiba;BEZERROS;CAB;;;15;10.996,65
AGUDOS DO SUL;Curitiba;BOVINOS (BOI GORDO);KG;;1300;70;121.030,00
AGUDOS DO SUL;Curitiba;BROCOLOS;TON;10;250;;467.500,00
AGUDOS DO SUL;Curitiba;CAMA DE AVIARIO;TON;;240;;17.640,00
AGUDOS DO SUL;Curitiba;CAPRINOS (PARA CORTE);KG;;650;300;56.400,00
AGUDOS DO SUL;Curitiba;CAQUI;TON;2;12;;5.136,00
AGUDOS DO SUL;Curitiba;CARPA;KG;;;10000;44.200,00
AGUDOS DO SUL;Curitiba;CEBOLA;TON;40;720;;767.520,00
AGUDOS DO SUL;Curitiba;CEBOLINHA (cheiro verde);TON;2;50;;216.000,00
AGUDOS DO SUL;Curitiba;CENOURA;TON;3;45;;46.134,90
AGUDOS DO SUL;Curitiba;CERA DE ABELHA;KG;;800;;11.512,00
AGUDOS DO SUL;Curitiba;COELHO (PARA CORTE);KG;;50;1250;10.500,00
AGUDOS DO SUL;Curitiba;COUVE-FLOR;TON;12;240;;878.400,00
AGUDOS DO SUL;Curitiba;ERVA-MATE (em folha);TON;10;180;;187.858,80
AGUDOS DO SUL;Curitiba;ESTERCO DE SUINOS/BOVINOS;TON;;1620;;81.113,40
AGUDOS DO SUL;Curitiba;FEIJAO SAFRA DAS AGUAS;TON;360;740,8;;1.836.939,54
AGUDOS DO SUL;Curitiba;FRANGO DE CORTE (AVES DE CORTE);KG;;27300;163800;1.007.861,40
AGUDOS DO SUL;Curitiba;FUMO;TON;1155;2541;;17.223.126,69
AGUDOS DO SUL;Curitiba;GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO);KG;;25000;60000;969.180,00
AGUDOS DO SUL;Curitiba;GARROTES;CAB;;;10;9.750,40
AGUDOS DO SUL;Curitiba;INHAME;TON;7;140;;203.000,00
AGUDOS DO SUL;Curitiba;KIWI;TON;2;28;;86.170,00
AGUDOS DO SUL;Curitiba;LA;KG;;1700;;4.063,00
AGUDOS DO SUL;Curitiba;LEITE;MLT;;650;;598.000,00
AGUDOS DO SUL;Curitiba;LEITE DE CABRA;LIT;;7000;;15.470,00
AGUDOS DO SUL;Curitiba;MACA;TON;11;385;;490.798,00
AGUDOS DO SUL;Curitiba;MADEIRAS - EM TORA P/LAMINADORA - PINUS;M3;;70000;;7.455.000,00
AGUDOS DO SUL;Curitiba;MADEIRAS - EM TORA P/OUTRAS FINALIDADES;M3;;44000;;3.717.120,00
AGUDOS DO SUL;Curitiba;MADEIRAS - EM TORA P/PAPEL E CELULOSE;M3;;48000;;2.339.520,00
AGUDOS DO SUL;Curitiba;MADEIRAS - EM TORA P/SERRARIA - EUCALIPTO;M3;750;10000;;767.600,00
AGUDOS DO SUL;Curitiba;MADEIRAS - EM TORA P/SERRARIA - PINUS;M3;5500;30000;;2.490.600,00
AGUDOS DO SUL;Curitiba;MADEIRAS - LENHA;M3;;70000;;2.435.300,00
AGUDOS DO SUL;Curitiba;MANDIOCA CONSUMO (HUMANO);TON;32;960;;785.664,00
AGUDOS DO SUL;Curitiba;MANDIOCA INDUSTRIA;TON;8;240;;96.271,20
AGUDOS DO SUL;Curitiba;MEL;KG;;20000;;113.200,00
AGUDOS DO SUL;Curitiba;MILHO SAFRA NORMAL;TON;4950;38016;;12.925.440,00
AGUDOS DO SUL;Curitiba;MILHO VERDE (espiga);UNI;10;400000;;152.000,00
AGUDOS DO SUL;Curitiba;MORANGO (moranguinho);TON;2;50;;270.340,00
AGUDOS DO SUL;Curitiba;MUDAS DE EUCALIPTO;UNI;;200000;;50.000,00
AGUDOS DO SUL;Curitiba;MUDAS DE PINUS;UNI;;150000;;36.000,00
AGUDOS DO SUL;Curitiba;NOVILHAS;CAB;;;15;13.890,60
AGUDOS DO SUL;Curitiba;ORNAMENTAIS;UNI;;120000;;1.401.600,00
AGUDOS DO SUL;Curitiba;OVINOS (PARA CORTE);KG;;1000;350;72.537,50
AGUDOS DO SUL;Curitiba;OVINOS < 6 MESES;KG;;;200;24.990,00
AGUDOS DO SUL;Curitiba;OVOS DE GALINHA (PARA CONSUMO);DZ;;300000;;582.000,00
AGUDOS DO SUL;Curitiba;PESSEGO;TON;2;20;;34.400,00
AGUDOS DO SUL;Curitiba;PIMENTAO;TON;5;65;;88.799,75
AGUDOS DO SUL;Curitiba;PINHAO;KG;;38000;;79.420,00
AGUDOS DO SUL;Curitiba;PLANTAS PERENES (ORNAMENTAIS);UNI;;440000;;2.631.200,00
AGUDOS DO SUL;Curitiba;PROPOLIS;KG;;320;;16.828,80
AGUDOS DO SUL;Curitiba;REPOLHO;TON;50;1500;;590.355,00
AGUDOS DO SUL;Curitiba;SILAGEM DE MILHO E/OU SORGO;TON;;300;;42.384,00
AGUDOS DO SUL;Curitiba;SOJA SAFRA NORMAL;TON;600;1932;;2.018.611,56
AGUDOS DO SUL;Curitiba;SUINOS - LEITOES P/ CORTE;KG;;;300;37.356,00
AGUDOS DO SUL;Curitiba;SUINOS < 2 MESES (leitao p/recria);UNI;;;1800;188.136,00
AGUDOS DO SUL;Curitiba;SUINOS-COMUM (para abate);KG;;180;900;186.480,00
AGUDOS DO SUL;Curitiba;SUINOS-RACA (para abate);KG;;1300;1700;482.800,00
AGUDOS DO SUL;Curitiba;TILAPIA;KG;;0;22000;88.220,00
AGUDOS DO SUL;Curitiba;TOMATE SAFRAO;TON;2;67,2;;161.893,54
AGUDOS DO SUL;Curitiba;TOUROS;CAB;;;5;13.364,00
AGUDOS DO SUL;Curitiba;TRIGO;TON;250;700;;516.131,00
AGUDOS DO SUL;Curitiba;UVA VINIFERA;TON;5;80;;164.840,00
AGUDOS DO SUL;Curitiba;VACA (PARA CORTE);KG;;;80;122.600,00
AGUDOS DO SUL;Curitiba;VACA (PARA CRIA);CAB;;0;150;240.004,50
ALMIRANTE TAMANDARE;Curitiba;ABOBORA (seca/madura);TON;33;799;;519.350,00
ALMIRANTE TAMANDARE;Curitiba;ABOBORA-TETSUKABUTO (KABOTIA);TON;14;327;;245.250,00
ALMIRANTE TAMANDARE;Curitiba;ABOBRINHA VERDE;TON;63;1508;;1.447.680,00
ALMIRANTE TAMANDARE;Curitiba;AGRIAO AQUATICO;TON;9;227;;440.380,00
ALMIRANTE TAMANDARE;Curitiba;ALFACE;TON;48;1259;;1.161.074,98
ALMIRANTE TAMANDARE;Curitiba;ALMEIRAO;TON;6;148;;273.800,00
ALMIRANTE TAMANDARE;Curitiba;AMEIXA;TON;7;73;;149.007,60
ALMIRANTE TAMANDARE;Curitiba;BATATA DA SECA;TON;2;36,4;;38.802,40
ALMIRANTE TAMANDARE;Curitiba;BATATA DAS AGUAS;TON;5;100,3;;90.570,90
ALMIRANTE TAMANDARE;Curitiba;BATATA DOCE;TON;26;518;;486.920,00
ALMIRANTE TAMANDARE;Curitiba;BEGONIA DO SOL;UNI;0;4000;;2.800,00
ALMIRANTE TAMANDARE;Curitiba;BEIJO AMERICANO;CX;;6500;;44.265,00
ALMIRANTE TAMANDARE;Curitiba;BERINJELA;TON;18;547;;601.700,00
ALMIRANTE TAMANDARE;Curitiba;BETERRABA;TON;50;1265;;1.302.950,00
ALMIRANTE TAMANDARE;Curitiba;BEZERRAS;CAB;;;6;3.617,04
ALMIRANTE TAMANDARE;Curitiba;BEZERROS;CAB;;;8;5.864,88
ALMIRANTE TAMANDARE;Curitiba;BOVINOS (BOI GORDO);KG;;940;56;81.183,20
ALMIRANTE TAMANDARE;Curitiba;BROCOLOS;TON;15;291;;544.170,00
ALMIRANTE TAMANDARE;Curitiba;CAPRINOS (PARA CORTE);KG;;30;5;822,5
ALMIRANTE TAMANDARE;Curitiba;CAQUI;TON;2;18;;7.704,00
ALMIRANTE TAMANDARE;Curitiba;CEBOLA;TON;65;1235;;1.316.510,00
ALMIRANTE TAMANDARE;Curitiba;CEBOLINHA (cheiro verde);TON;3;95;;410.400,00
ALMIRANTE TAMANDARE;Curitiba;CELOSIA PLUMOSA;CX;;100;;639
ALMIRANTE TAMANDARE;Curitiba;CENOURA;TON;84;2179;;2.233.954,38
ALMIRANTE TAMANDARE;Curitiba;CHUCHU;TON;35;1614;;1.375.563,78
ALMIRANTE TAMANDARE;Curitiba;CINERARIA;CX;;200;;1.308,00
ALMIRANTE TAMANDARE;Curitiba;COELHO (PARA CORTE);KG;;100;1000;14.000,00
ALMIRANTE TAMANDARE;Curitiba;COUVE;TON;22;664;;942.880,00
ALMIRANTE TAMANDARE;Curitiba;COUVE CHINESA;TON;11;283;;124.520,00
ALMIRANTE TAMANDARE;Curitiba;COUVE-FLOR;TON;83;2366;;8.659.560,00
ALMIRANTE TAMANDARE;Curitiba;ERVA-MATE (em folha);TON;;12;;12.523,92
ALMIRANTE TAMANDARE;Curitiba;ESCAROLA/CHICORIA;TON;13;199;;214.920,00
ALMIRANTE TAMANDARE;Curitiba;ESPINAFRE;TON;9;197;;354.600,00
ALMIRANTE TAMANDARE;Curitiba;ESTERCO DE SUINOS/BOVINOS;TON;;550;;27.538,50
ALMIRANTE TAMANDARE;Curitiba;FEIJAO SAFRA DA SECA;TON;25;33,2;;88.262,20
ALMIRANTE TAMANDARE;Curitiba;FEIJAO SAFRA DAS AGUAS;TON;750;1059,9;;2.628.202,23
ALMIRANTE TAMANDARE;Curitiba;FEIJAO-VAGEM;TON;35;723;;1.214.640,00
ALMIRANTE TAMANDARE;Curitiba;GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO);KG;;41000;61500;1.061.920,50
ALMIRANTE TAMANDARE;Curitiba;GARROTES;CAB;;;19;18.525,76
ALMIRANTE TAMANDARE;Curitiba;INHAME;TON;8;178;;258.100,00
ALMIRANTE TAMANDARE;Curitiba;JILO;TON;4;83;;129.480,00
ALMIRANTE TAMANDARE;Curitiba;LA;KG;;490;;1.171,10
ALMIRANTE TAMANDARE;Curitiba;LEITE;MLT;;439;;403.880,00
ALMIRANTE TAMANDARE;Curitiba;LEITE DE CABRA;LIT;;1430;;3.160,30
ALMIRANTE TAMANDARE;Curitiba;MADEIRAS - EM TORA P/SERRARIA - EUCALIPTO;M3;10;350;;26.866,00
ALMIRANTE TAMANDARE;Curitiba;MADEIRAS - EM TORA P/SERRARIA - PINUS;M3;260;8000;;664.160,00
ALMIRANTE TAMANDARE;Curitiba;MADEIRAS - LENHA;M3;0;35000;;1.217.650,00
ALMIRANTE TAMANDARE;Curitiba;MANDIOCA CONSUMO (HUMANO);TON;24;416,4;;340.781,76
ALMIRANTE TAMANDARE;Curitiba;MANDIOCA INDUSTRIA;TON;6;104,1;;41.757,63
ALMIRANTE TAMANDARE;Curitiba;MEL;KG;;2200;;12.452,00
ALMIRANTE TAMANDARE;Curitiba;MILHO SAFRA NORMAL;TON;1830;10888,5;;3.702.090,00
ALMIRANTE TAMANDARE;Curitiba;MILHO VERDE (espiga);UNI;2;85000;;32.300,00
ALMIRANTE TAMANDARE;Curitiba;MORANGA;TON;11;176;;86.240,00
ALMIRANTE TAMANDARE;Curitiba;MORANGO (moranguinho);TON;13;429;;2.319.517,20
ALMIRANTE TAMANDARE;Curitiba;MUDA DE AMOR PERFEITO;CX;;200;;1.188,00
ALMIRANTE TAMANDARE;Curitiba;MUDA DE AZALEIA;UNI;;230;;1.534,10
ALMIRANTE TAMANDARE;Curitiba;MUDA DE BOCA DE LEAO;CX;;800;;4.320,00
ALMIRANTE TAMANDARE;Curitiba;MUDAS DE OLERICOLAS;UNI;;46000000;;1.840.000,00
ALMIRANTE TAMANDARE;Curitiba;NABO;TON;4;112;;100.800,00
ALMIRANTE TAMANDARE;Curitiba;NOVILHAS;CAB;;;9;8.334,36
ALMIRANTE TAMANDARE;Curitiba;ONZE-HORAS;UNI;;1500;;750
ALMIRANTE TAMANDARE;Curitiba;OVINOS (PARA CORTE);KG;;300;66;8.973,10
ALMIRANTE TAMANDARE;Curitiba;OVINOS < 6 MESES;KG;;;45;5.810,18
ALMIRANTE TAMANDARE;Curitiba;OVOS DE GALINHA (PARA CONSUMO);DZ;;615000;;1.193.100,00
ALMIRANTE TAMANDARE;Curitiba;PEPINO;TON;58;1393;;1.572.557,70
ALMIRANTE TAMANDARE;Curitiba;PERA;TON;4;46;;63.020,00
ALMIRANTE TAMANDARE;Curitiba;PESSEGO;TON;3;32;;55.040,00
ALMIRANTE TAMANDARE;Curitiba;PETUNIA;CX;;100;;526
ALMIRANTE TAMANDARE;Curitiba;PIMENTA;TON;1;10;;40.200,00
ALMIRANTE TAMANDARE;Curitiba;PIMENTAO;TON;69;2179;;2.976.840,85
ALMIRANTE TAMANDARE;Curitiba;PINHAO;KG;0;26000;;54.340,00
ALMIRANTE TAMANDARE;Curitiba;PIRIQUITINHO;CX;;800;;5.680,00
ALMIRANTE TAMANDARE;Curitiba;QUIABO;TON;6;68;;123.080,00
ALMIRANTE TAMANDARE;Curitiba;RABANETE;TON;18;318;;515.160,00
ALMIRANTE TAMANDARE;Curitiba;REPOLHO;TON;72;2575;;1.013.442,75
ALMIRANTE TAMANDARE;Curitiba;RUCULA;TON;5;85;;190.400,00
ALMIRANTE TAMANDARE;Curitiba;SALSA (SALSINHA);TON;5;191;;995.110,00
ALMIRANTE TAMANDARE;Curitiba;SALSAO;TON;2;60;;66.600,00
ALMIRANTE TAMANDARE;Curitiba;SUINOS - LEITOES P/ CORTE;KG;;;400;43.016,00
ALMIRANTE TAMANDARE;Curitiba;SUINOS-COMUM (para abate);KG;;400;1600;355.200,00
ALMIRANTE TAMANDARE;Curitiba;SUINOS-RACA (para abate);KG;;200;;                      -  
ALMIRANTE TAMANDARE;Curitiba;TOMATE SAFRAO;TON;30;1468,8;;3.538.530,14
ALMIRANTE TAMANDARE;Curitiba;UVA DE MESA;TON;20;202;;519.140,00
ALMIRANTE TAMANDARE;Curitiba;VACA (PARA CORTE);KG;;;37;48.764,15
ALMIRANTE TAMANDARE;Curitiba;VACA (PARA CRIA);CAB;;;33;52.800,99
ALTAMIRA DO PARANA;Campo Mourão;ABOBORA (seca/madura);TON;0,5;6;;3.900,00
ALTAMIRA DO PARANA;Campo Mourão;ABOBRINHA VERDE;TON;0,1;0,2;;192
ALTAMIRA DO PARANA;Campo Mourão;ALFACE;TON;1;11;;10.144,42
ALTAMIRA DO PARANA;Campo Mourão;ALHO;TON;4;8;;44.742,40
ALTAMIRA DO PARANA;Campo Mourão;ALMEIRAO;TON;0,2;3;;5.550,00
ALTAMIRA DO PARANA;Campo Mourão;AMENDOIM SAFRA DAS AGUAS;TON;1;2;;3.856,80
ALTAMIRA DO PARANA;Campo Mourão;BEZERRAS;CAB;;;3352;2.020.719,68
ALTAMIRA DO PARANA;Campo Mourão;BEZERROS;CAB;;0;5536;4.058.496,96
ALTAMIRA DO PARANA;Campo Mourão;BICHO DA SEDA (CASULO);TON;28,7;13,1;;160.999,00
ALTAMIRA DO PARANA;Campo Mourão;BOVINOS (BOI GORDO);KG;;59994;3903;7.267.386,00
ALTAMIRA DO PARANA;Campo Mourão;BUBALINOS (PARA CORTE);KG;;50;2;3.534,00
ALTAMIRA DO PARANA;Campo Mourão;CAFE;TON;5;6,9;;31.602,00
ALTAMIRA DO PARANA;Campo Mourão;CAMA DE AVIARIO;TON;;1620;;119.070,00
ALTAMIRA DO PARANA;Campo Mourão;CAPRINOS (PARA CORTE);KG;;500;150;21.150,00
ALTAMIRA DO PARANA;Campo Mourão;EQUINOS (PARA CORTE);KG;;500;;                      -  
ALTAMIRA DO PARANA;Campo Mourão;EQUINOS > 1 ANO (PARA TRABALHO);UNI;;;35;46.199,30
ALTAMIRA DO PARANA;Campo Mourão;EQUINOS DE RACA (EQUITACAO, LAZER,ETC);CAB;;;28;132.753,04
ALTAMIRA DO PARANA;Campo Mourão;ESTERCO DE SUINOS/BOVINOS;TON;;8980;;449.628,60
ALTAMIRA DO PARANA;Campo Mourão;FEIJAO SAFRA DAS AGUAS;TON;100;124;;307.479,08
ALTAMIRA DO PARANA;Campo Mourão;FRANGO DE CORTE (AVES DE CORTE);KG;;178171;1069031;6.765.683,39
ALTAMIRA DO PARANA;Campo Mourão;GARROTES;CAB;;;3721;3.628.123,84
ALTAMIRA DO PARANA;Campo Mourão;JILO;TON;0,2;3;;4.680,00
ALTAMIRA DO PARANA;Campo Mourão;LARANJA;TON;2;30;;7.728,90
ALTAMIRA DO PARANA;Campo Mourão;LEITE;MLT;;5800;;5.336.000,00
ALTAMIRA DO PARANA;Campo Mourão;MADEIRAS - EM TORA P/SERRARIA - EUCALIPTO;M3;30;;;                      -  
ALTAMIRA DO PARANA;Campo Mourão;MADEIRAS - LENHA;M3;;744;;25.883,76
ALTAMIRA DO PARANA;Campo Mourão;MANDIOCA CONSUMO (HUMANO);TON;1;20;;16.368,00
ALTAMIRA DO PARANA;Campo Mourão;MANDIOCA INDUSTRIA;TON;30;660;;264.745,80
ALTAMIRA DO PARANA;Campo Mourão;MEL;KG;;7000;;39.620,00
ALTAMIRA DO PARANA;Campo Mourão;MILHO SAFRA NORMAL;TON;258;1919;;652.460,00
ALTAMIRA DO PARANA;Campo Mourão;MILHO SAFRINHA;TON;585;2465,2;;820.911,60
ALTAMIRA DO PARANA;Campo Mourão;MUARES;CAB;;;1;1.443,46
ALTAMIRA DO PARANA;Campo Mourão;NOVILHAS;CAB;;;2091;1.936.349,64
