code;variable;population;year;gender;level;group
4100806;5 a 9;356;2020;man;2;younger
4100806;10 a 14;386;2020;man;3;younger
4100806;15 a 19;401;2020;man;4;worker
4100806;20 a 24;385;2020;man;5;worker
4100806;25 a 29;414;2020;man;6;worker
4100806;30 a 34;450;2020;man;7;worker
4100806;35 a 39;412;2020;man;8;worker
4100806;40 a 44;354;2020;man;9;worker
4100806;45 a 49;402;2020;man;10;worker
4100806;50 a 54;416;2020;man;11;worker
4100806;55 a 59;386;2020;man;12;worker
4100806;60 a 64;326;2020;man;13;worker
4100806;> 65;667;2020;man;14;older
4100905;0 a 4;254;2020;man;1;younger
4100905;5 a 9;258;2020;man;2;younger
4100905;10 a 14;246;2020;man;3;younger
4100905;15 a 19;250;2020;man;4;worker
4100905;20 a 24;257;2020;man;5;worker
4100905;25 a 29;261;2020;man;6;worker
4100905;30 a 34;264;2020;man;7;worker
4100905;35 a 39;201;2020;man;8;worker
4100905;40 a 44;219;2020;man;9;worker
4100905;45 a 49;210;2020;man;10;worker
4100905;50 a 54;198;2020;man;11;worker
4100905;55 a 59;176;2020;man;12;worker
4100905;60 a 64;125;2020;man;13;worker
4100905;> 65;238;2020;man;14;older
4101002;0 a 4;676;2020;man;1;younger
4101002;5 a 9;660;2020;man;2;younger
4101002;10 a 14;634;2020;man;3;younger
4101002;15 a 19;704;2020;man;4;worker
4101002;20 a 24;844;2020;man;5;worker
4101002;25 a 29;775;2020;man;6;worker
4101002;30 a 34;772;2020;man;7;worker
4101002;35 a 39;677;2020;man;8;worker
4101002;40 a 44;602;2020;man;9;worker
4101002;45 a 49;616;2020;man;10;worker
4101002;50 a 54;604;2020;man;11;worker
4101002;55 a 59;595;2020;man;12;worker
4101002;60 a 64;446;2020;man;13;worker
4101002;> 65;945;2020;man;14;older
4101051;0 a 4;98;2020;man;1;younger
4101051;5 a 9;98;2020;man;2;younger
4101051;10 a 14;83;2020;man;3;younger
4101051;15 a 19;75;2020;man;4;worker
4101051;20 a 24;99;2020;man;5;worker
4101051;25 a 29;114;2020;man;6;worker
4101051;30 a 34;92;2020;man;7;worker
4101051;35 a 39;91;2020;man;8;worker
4101051;40 a 44;99;2020;man;9;worker
4101051;45 a 49;99;2020;man;10;worker
4101051;50 a 54;107;2020;man;11;worker
4101051;55 a 59;76;2020;man;12;worker
4101051;60 a 64;73;2020;man;13;worker
4101051;> 65;235;2020;man;14;older
4101101;0 a 4;627;2020;man;1;younger
4101101;5 a 9;622;2020;man;2;younger
